token,amount,start,end,owner,newowner,duration
1,156239,1660939489,1802908800,0x23976fb0311d85b2d559e3ed2d0810ebd231cb78,0x7202136d70026DA33628dD3f3eFccb43F62a2469,1643
5,2054,1661081454,1767830400,0xad47c8b0d224c4a9dd431b2877ccdb886eb52949,,1236
6,1062,1661082069,1767830400,0x6ae07f823e9be3889ddd984716fad9faf3836d76,,1236
7,2009,1661082191,1751500800,0xdadd7dac370072311e3166019feb3d55877fe910,,1047
8,10335,1661082214,1787184000,0x42aaf70a09e9385dfa70b3d573d021c79ea1c901,,1460
9,1076,1661082537,1766620800,0x8af163e286773ba2d80912cb2f18efdad51cb2ab,0x7e44bA2f5f42Aa7c5da1Be152737d376A57b8377,1222
10,738,1661083414,1761782400,0x7e3725ab300dce7f6b47183232e44e538dfdacaa,,1165
11,2520,1661083690,1787184000,0x7c1e8970b36e6a327255035314f6f7b57c20eb58,,1459
12,624,1661084142,1765411200,0x37f31de56cd8844c8170c54877a201af3541ae12,,1207
13,8423,1661084481,1767830400,0xc9485cd3bed4d3f841adc35889591fd4e94c987a,,1235
14,78694,1661085422,1767830400,0x75f74de8c945725703f1a000521dc72a4f27701e,,1235
15,11000,1661085721,1761177600,0xc9485cd3bed4d3f841adc35889591fd4e94c987a,,1158
16,2080,1661085986,1803513600,0x4ee470e115b1eb569920725093c41430eb528e95,,1648
17,5200,1661086467,1764806400,0x5372accb490a498f9a0ea9d1050932c32e306d8d,,1200
18,3000,1661086696,1780531200,0x5372accb490a498f9a0ea9d1050932c32e306d8d,,1382
19,2501,1661087861,1767225600,0x63b38cfd568b5ba7f3e124b5a70603262d834e5f,,1228
20,2377,1661088442,1762387200,0xdf46e7abec81c028aa5de7c71219a346f86b6c73,,1172
22,1107,1661089527,1760572800,0x11d72223368d5fc6f2dbc63458c2141e7a108053,,1151
23,1559,1661093858,1787184000,0xc403400832e973011516de452bdf14b4f8266c6e,,1459
25,4000,1661106860,1787184000,0x5372accb490a498f9a0ea9d1050932c32e306d8d,,1459
27,200,1661107787,1753315200,0x4ee470e115b1eb569920725093c41430eb528e95,,1067
28,110,1661107787,1779926400,0x5372accb490a498f9a0ea9d1050932c32e306d8d,,1375
29,120,1661107787,1767225600,0x5372accb490a498f9a0ea9d1050932c32e306d8d,,1228
30,110,1661107787,1775692800,0x5372accb490a498f9a0ea9d1050932c32e306d8d,,1326
31,7449,1661108487,1766620800,0x964b2c3df9f29ded421ab05974306255f20a1f98,,1221
32,4508,1661113053,1764201600,0x1ba2f1eea3ac21cb53c88522bfe32a051d601872,,1193
33,12741,1661126458,1761177600,0x29dff89ec15dd66d8c1b7b53325ed1e90c2f9fa6,,1158
34,35807,1661126543,1749686400,0x29dff89ec15dd66d8c1b7b53325ed1e90c2f9fa6,,1025
35,1315,1661151192,1764806400,0x16dcf38af6bbd0c673cb1e6c05d2220965554a61,,1200
36,2941,1661180464,1787184000,0x2cafe9cba9da5a49e3ff28eb63958c2583cd552a,,1458
37,25000,1661183155,1787184000,0x0fb11728d48ce180538490b3a09fa7c11cf4a344,,1458
38,14100,1661183497,1765411200,0x77cd66d59ac48a0e7ce54ff16d9235a5ffff335e,,1206
39,3810,1661183627,1765411200,0x2574f8351a6a47493b48fb6df4fd932521340de0,,1206
40,15003,1661183930,1767830400,0x3bf43d5f01e2de17875111cd2b86aea6a08e3704,,1234
41,7084,1661184071,1765411200,0xe48ff39b6811fd3bc5c81b8eb2d7a2c5b2604863,,1206
42,622,1661185509,1787184000,0xd821db770d6efd8b2533bba3ce33f5c3c71a2161,,1458
43,1058,1661185914,1768435200,0xa00706c3b08db136a9e9300d0c5d22444b03b877,,1241
44,622,1661186415,1787184000,0x0162e0554f115dbf4e7cccde0b0ca15ed4c73d9e,,1458
45,519,1661186493,1787184000,0xb6a0b10d2e6f92197b877c064ade6bbf592e1a60,,1458
46,510,1661186699,1787184000,0xa3d078c8048de8695bc30ff2001a37bc926f432d,,1458
47,1196,1661187597,1764806400,0xf1e59a9e96afaf1ae0e3e61a5560c977368b5e29,,1199
48,1125,1661191944,1767830400,0xc403400832e973011516de452bdf14b4f8266c6e,,1234
49,1143,1661192147,1779926400,0x6945b43512cf7dabf002533bc4a01a49fd920372,,1374
50,2815,1661192322,1764806400,0xfe655ec770e2b532c85e9867f79fb4a8c2dcf4de,,1199
51,1023,1661192690,1767830400,0x5372accb490a498f9a0ea9d1050932c32e306d8d,,1234
52,583,1661193864,1749081600,0x80f227a6f50d75f31e83e881d26ad22d147e2fd3,,1017
53,250,1661194341,1787184000,0x0040daac32d83c78546ae36da42a496b28ab09e1,,1458
55,1000,1661195900,1735171200,0x95fede89bfd1511805f949abb46ae831df3f56d7,,856
57,737,1661202238,1765411200,0x71fcd8ec340677d02ebc2be62042d8b3d00c0590,,1206
58,546,1661203000,1767830400,0x9a5b081fe82f47f56f6a81f9047cc5b39788e058,,1234
59,2515,1661203620,1787184000,0x831d9794ba02a2fa81caef8202dff99030cf0415,,1458
60,102,1661204382,1784764800,0xe44c3c04addefdf462c0b0cf9069815f94f58d61,,1430
61,326,1661205340,1764806400,0xa42b37b50fe7f1a4850e66881c22e80a80a08240,,1199
62,1095,1661205432,1763596800,0x604dcda0f15ed0923b5ae66e5c6d1611019b794a,,1185
63,1035,1661205432,1783555200,0x626b918ef2625eb2d47eca3fd8e7774c34613ee1,,1416
64,1000,1661205649,1763596800,0x9402229b147566037f850cdbb2f3a1bc58bf6783,,1185
65,533,1661205781,1761177600,0x1f906ab7bd49059d29cac759bc84f9008dbf4112,,1157
66,615,1661206470,1766016000,0x77692ec8dff80d651c4e27574234429861e06a8f,,1213
67,302,1661206697,1765411200,0x8cdf509f6d67cd11379edbe468f749ca32a25176,,1206
69,1000,1661208826,1787184000,0x941b6117f7059c484d66e8f24ed38cb40a1667cd,,1458
70,500,1661210540,1780531200,0x4b8f2c23811bb8d46538a3b2c6f4eae4f9508ce9,,1381
71,5500,1661212330,1767830400,0x1ff4c0ae0f386c16d297d7580b872da90fadae2c,,1234
72,304,1661214095,1767830400,0x60068459bb92d88acbc4a2e9c0b21f2ddc41ee59,,1234
73,903,1661214186,1765411200,0xbeb439195367d87184733badb1f4f26a7df9c576,,1206
74,1180,1661219119,1767830400,0x350a885ea8744c28a26e6b874dd7a50c5d0e72be,,1234
75,1291,1661219329,1769644800,0x35d60a396672dff5171becffc59d4bfcb0fcb7ab,,1255
76,5067,1661226189,1767830400,0x46df537be86be25e287404ea2d8c204f45b27f3d,,1234
77,603,1661233180,1765411200,0x3a2ed3fcb00814e325eadbaba88bb903047c3fed,,1206
78,558,1661233633,1777507200,0x44fc2834cdab3d22e885ef26ce1bcbe50c163ccf,,1346
79,519,1661233865,1804118400,0xe93b89fef7cbce1593bc6b504308666db0605996,,1654
80,612,1661233950,1787184000,0x21287bc0f05285fe0d2242b5b3ae8cee4a99b565,,1458
81,3000,1661234309,1773273600,0xed2b4fb23433814956fa8d47eba537f1bea98527,,1297
82,2000,1661234622,1762992000,0x830dc7165fb45d8a21cc40ce58e7be48f54d7733,,1178
84,344,1661237159,1787184000,0xeb471f3a4084504ad153bd0902d36181cd556bb1,,1458
85,307,1661239609,1764806400,0x35642de97d6376dd55240ffd35fafd2619515e54,,1199
86,1030,1661240258,1762387200,0x48731a48591b8a1869fa0f742334532a88b2ce92,,1171
87,307,1661244962,1778112000,0xf661ee1a3dc61ff13ad52583833ea0d95fa00f96,,1353
88,408,1661246620,1767830400,0xe5b46ea6a8e364a31cf67ce32dddb94c2b603d52,,1234
89,411,1661247026,1767225600,0x8af163e286773ba2d80912cb2f18efdad51cb2ab,0x7e44bA2f5f42Aa7c5da1Be152737d376A57b8377,1227
90,302,1661248825,1787184000,0x4415d2b6022634826976ab797fd26f1f7e7ea347,,1458
91,5205,1661249779,1764201600,0x857db2aa6295cce3bb4ba4f11f81c0fd58a37b6e,,1192
92,1152,1661249977,1698278400,0xb3d7e2431a2e21dd9474fd39062568eeb5d1dae7,,429
93,2068,1661254456,1768435200,0x753c46389ee4df0e56f72822b998d04c8fe19acb,,1241
94,351,1661254578,1761177600,0xf661ee1a3dc61ff13ad52583833ea0d95fa00f96,,1157
95,998,1661254924,1765411200,0xb66747241e41f0f44d7cd2d9ce0d08febbb7bf0e,,1206
